Jun  5 11:36:07.533000 - 4296/6068	****   jdeDebugInit -- output disabled in INI file. 
Jun  5 11:36:07.535000 - 4296/6068	Process=(D:\JDE\ES\jde920\e920\system\bin64\runbatch.exe) 
Jun  5 11:36:07.548000 - 4296/6068	BMD OFF - Not running BSFN MEMORY DIAGNOSTICS v8.98.2.0 level 0 
Jun  5 11:36:08.554000 - 4296/6068	Entering JDB_UpdateTable (Table F986110) (hRequest 0000000009169ed0) 
Jun  5 11:36:08.554001 - 4296/6068	ODBC:S DBInitRequest(new) req=000000000A60CF40,con=00000000000E0C70,env=0000000001787470,dbc=0000000001787550,spid=213 VMC10134DJ007 A (CT920SQL@JDE920) 
Jun  5 11:36:08.554002 - 4296/6068	UPDATE CTJDESVM.SVM920.F986110  SET JCJOBQUE='QBATCH',JCJOBPTY='5',JCJOBSTS='P',JCENHV='JCTTEST1  ',JCUSER='SSHIRPU1  ',JCPSWD='******    ',JCJOBTYPE='01',JCSBMDATE=126156,JCSBMTIME=113606.000000,JCJOBNBR=89826.000000,JCEXEHOST='VMC10134DJ002',JCORGHOST='VMC10134DJ004                           ',JCPROCESSID=4296.000000,JCACTDATE=126156,JCACTTIME=113608.000000,JCSRVBLOBA=LONGVARBINARY_DATA,JCFUNO='UBE',JCPRTQ='6017',JCFNDFUF1='VMC10134DJ002                 ',JCFNDFUF2='R5542542_M9999V03             ' WHERE  ( JCEXEHOST = 'VMC10134DJ002' AND JCJOBNBR = 89826.000000 ) 
Jun  5 11:36:08.554003 - 4296/6068	Entering DBPerformRequest 
Jun  5 11:36:08.554004 - 4296/6068	ODBC:S DBPerformRequest req=000000000A60CF40,con=00000000000E0C70,env=0000000001787470,dbc=0000000001787550,spid=213 VMC10134DJ007 A (CT920SQL@JDE920) 
Jun  5 11:36:08.556000 - 4296/6068	Exiting DBPerformRequest 
Jun  5 11:36:08.556001 - 4296/6068	Exiting JDB_UpdateTable with Success (Table F986110) 
Jun  5 11:36:08.556002 - 4296/6068	Entering JDB_TableExists (Table F986110R) 
Jun  5 11:36:08.556003 - 4296/6068	Entering JDB_GetDatabaseTypeFromDS (DS System - 920                  ) 
Jun  5 11:36:08.556004 - 4296/6068	Exiting JDB_GetDatabaseTypeFromDS with Success (DS System - 920                  ) (Type S) 
Jun  5 11:36:08.556005 - 4296/6068	ODBC:S DBInitConnection shr(6) con=000000000A47C530,env=0000000001787470,dbc=000000000178BEA0,spid=180 cur=0,3,6 sep=. VMC10134PJ038 A (CT920SQL@JDE920PROD) 
Jun  5 11:36:08.560000 - 4296/6068	ODBC:S DBFreeConnection free(5) con=000000000A47C530,env=0000000001787470,dbc=000000000178BEA0,spid=180 cur=0,3,6 sep=. VMC10134PJ038 A (CT920SQL@JDE920PROD) 
Jun  5 11:36:08.560001 - 4296/6068	Exiting JDB_TableExists with Success(Table F986110R) 
Jun  5 11:36:08.560002 - 4296/6068	Entering JDB_OpenTable(Table = F986110R) 
Jun  5 11:36:08.562000 - 4296/6068	Opening up local metadata repository. Type - JDESPECTYPE_GLBLTBL. 
Jun  5 11:36:08.562001 - 4296/6068	IntSpecOpenPackage: SPEC_HANDLE Allocated, Handle=000000000a487c20 
Jun  5 11:36:08.562002 - 4296/6068	IntSpecOpenPackage: Recursively calling DoSpecOpen. Handle=000000000a487c20 
Jun  5 11:36:08.562003 - 4296/6068	JDETAMA:Entering INTWorkWithTamLockList for action 0 
Jun  5 11:36:08.562004 - 4296/6068	JDETAMA:Exited INTWorkWithTamLockList for action 0 
Jun  5 11:36:08.562005 - 4296/6068	JDETAMA:INTGetTamLockHandle got pTamLock:[00000000001b85a0],pTamLock->hIPCTamLock:[00000000001b95c0]. 
Jun  5 11:36:08.562006 - 4296/6068	Locking D:\JDE\ES\jde920\e920\CTPY92\spec\CTPY92FX\glbltbl.ddb in READ mode.  
Jun  5 11:36:08.562007 - 4296/6068	JDETAMA:entering INTLockTam with pTamLock:[00000000001b85a0],pTamLock->hIPCTamLock:[00000000001b95c0],pTamLock->szLockName:D:\JDE\ES\jde920\e920\CTPY92\spec\CTPY92FX\glbltbl.ddb, type:1 
Jun  5 11:36:08.562008 - 4296/6068	JDETAMA:entering INTLockTam for read lock,nReaders 0 
Jun  5 11:36:08.562009 - 4296/6068	LOCK: Total READ locks after operation: 1  
Jun  5 11:36:08.562010 - 4296/6068	JDETAMA:exited INTLockTam with pTamLock:[00000000001b85a0],pTamLock->hIPCTamLock:[00000000001b95c0], type:1, numReaders=1. 
Jun  5 11:36:08.563000 - 4296/6068	jdeSpecOpen() opening spec of release JDESPECRELLVL_B9U. 
Jun  5 11:36:08.563001 - 4296/6068	SpecEncapsulation : jdeSpecOpenLocal completed OK. 
Jun  5 11:36:08.563002 - 4296/6068	IntSpecOpenPackage: Returning 'PASSED' 
Jun  5 11:36:08.563003 - 4296/6068	IntSpecClose: Entering w/ Handle = 000000000a487c20 
Jun  5 11:36:08.563004 - 4296/6068	Unlocking TAM file D:\JDE\ES\jde920\e920\CTPY92\spec\CTPY92FX\glbltbl.ddb  
Jun  5 11:36:08.563005 - 4296/6068	JDETAMA:entering INTUnlockTam with pTamLock:[00000000001b85a0],pTamLock->hIPCTamLock:[00000000001b95c0],pTamLock->szLockName:D:\JDE\ES\jde920\e920\CTPY92\spec\CTPY92FX\glbltbl.ddb 
Jun  5 11:36:08.563006 - 4296/6068	JDETAMA:entering INTUnlockTam nReaders 1 
Jun  5 11:36:08.563007 - 4296/6068	UNLOCK: Total READ locks after operation: 0  
Jun  5 11:36:08.563008 - 4296/6068	JDETAMA:exited INTUNLockTam with pTamLock:[00000000001b85a0]. 
Jun  5 11:36:08.563009 - 4296/6068	IntSpecClose: Returning 'PASSED', Handle=000000000a487c20 
Jun  5 11:36:08.563010 - 4296/6068	Opening up local metadata repository. Type - JDESPECTYPE_GBRLINK. 
Jun  5 11:36:08.563011 - 4296/6068	PKGBLD: Entering IntSvrPkgGetSpecIniFilePath 
Jun  5 11:36:08.563012 - 4296/6068	PKGBLD: Entering IntSvrPkgGetPkgSpecIniFilePath 
Jun  5 11:36:08.563013 - 4296/6068	Entering IntSvrPkgGetINIPaths 
Jun  5 11:36:08.563014 - 4296/6068	Entering IntSvrPkgGetINIPaths 
Jun  5 11:36:08.563015 - 4296/6068	PKGBLD: Exiting IntSvrPkgGetPkgSpecIniFilePath 
Jun  5 11:36:08.563016 - 4296/6068	PKGBLD: Exiting IntSvrPkgGetSpecIniFilePath 
Jun  5 11:36:08.563017 - 4296/6068	SetupPackageRDB() - Invalid Package name ().  Using current running package info. 
Jun  5 11:36:08.563018 - 4296/6068	PKGBLD: Entering IntSvrPkgGetSpecIniPrivateProfileString 
Jun  5 11:36:08.563019 - 4296/6068	PKGBLD: Entering IntSvrPkgGetPkgSpecIniFilePath 
Jun  5 11:36:08.563020 - 4296/6068	Entering IntSvrPkgGetINIPaths 
Jun  5 11:36:08.563021 - 4296/6068	Entering IntSvrPkgGetINIPaths 
Jun  5 11:36:08.563022 - 4296/6068	PKGBLD: Exiting IntSvrPkgGetPkgSpecIniFilePath 
Jun  5 11:36:08.564000 - 4296/6068	PKGBLD: Exiting IntSvrPkgGetSpecIniPrivateProfileString 
Jun  5 11:36:08.564001 - 4296/6068	SetupPackageRDB() - Setting package name to current running package: CTPY92FX. 
Jun  5 11:36:08.564002 - 4296/6068	Local RDBMS data format is always XML. 
Jun  5 11:36:08.564003 - 4296/6068	IntSpecOpenPackage: SPEC_HANDLE Allocated, Handle=000000000a484ec0 
Jun  5 11:36:08.564004 - 4296/6068	IntSpecOpenPackage: Recursively calling DoSpecOpen. Handle=000000000a484ec0 
Jun  5 11:36:08.564005 - 4296/6068	Entering JDB_GetDatabaseTypeFromDS (DS Central Objects - CTPY92) 
Jun  5 11:36:08.564006 - 4296/6068	Exiting JDB_GetDatabaseTypeFromDS with Success (DS Central Objects - CTPY92) (Type S) 
Jun  5 11:36:08.564007 - 4296/6068	Entering JDB_OpenTableWithSQLName(Table = F98740 and SQLTable = F98740CTPY92FX) 
Jun  5 11:36:08.564008 - 4296/6068	ODBC:S DBInitConnection shr(14) con=00000000000E0C70,env=0000000001787470,dbc=0000000001787550,spid=213 cur=0,3,6 sep=. VMC10134DJ007 A (CT920SQL@JDE920) 
Jun  5 11:36:08.564009 - 4296/6068	Incremented table handle count to 2 
Jun  5 11:36:08.564010 - 4296/6068	Entering JDB_AssignNonJDETablename (NonJDETableName F98740CTPY92FX) (hRequest 000000000916c5d0) 
Jun  5 11:36:08.564011 - 4296/6068	Exiting JDB_AssignNonJDETablename with Success (NonJDETableName F98740CTPY92FX) 
Jun  5 11:36:08.564012 - 4296/6068	Exiting JDB_OpenTableWithSQLName(Table = F98740) (UserHandle 000000000ac2a4d0) (hRequest 000000000916c5d0) with Success 
Jun  5 11:36:08.564013 - 4296/6068	jdeSpecOpen() opening spec of release JDESPECRELLVL_B10. 
Jun  5 11:36:08.564014 - 4296/6068	SpecEncapsulation : jdeSpecOpenLocalOpt completed OK. 
Jun  5 11:36:08.564015 - 4296/6068	IntSpecOpenPackage: Returning 'PASSED' 
Jun  5 11:36:08.564016 - 4296/6068	Entering JDB_ClearSelection (hRequest 000000000916c5d0) 
Jun  5 11:36:08.564017 - 4296/6068	Exiting JDB_ClearSelection with Success 
Jun  5 11:36:08.564018 - 4296/6068	Entering JDB_SelectKeyed (hRequest 000000000916c5d0) 
Jun  5 11:36:08.564019 - 4296/6068	ODBC:S DBInitRequest(new) req=000000000A60E120,con=00000000000E0C70,env=0000000001787470,dbc=0000000001787550,spid=213 VMC10134DJ007 A (CT920SQL@JDE920) 
Jun  5 11:36:08.564020 - 4296/6068	SELECT  *  FROM CTJDE_CTPY92.PY920.F98740CTPY92FX  WHERE  ( ELPRDTYP = 4 AND ELOBNM = 'F986110R' )  ORDER BY ELPRDTYP ASC,ELOBNM ASC,ELVERS ASC,ELFMNM ASC,ELCTRLID ASC,ELWEVENT ASC,ELERID3 ASC 
Jun  5 11:36:08.564021 - 4296/6068	Entering DBPerformRequest 
Jun  5 11:36:08.564022 - 4296/6068	ODBC:S DBPerformRequest req=000000000A60E120,con=00000000000E0C70,env=0000000001787470,dbc=0000000001787550,spid=213 VMC10134DJ007 A (CT920SQL@JDE920) 
Jun  5 11:36:08.564023 - 4296/6068	Exiting DBPerformRequest 
Jun  5 11:36:08.564024 - 4296/6068	Exiting JDB_SelectKeyed with Success 
Jun  5 11:36:08.564025 - 4296/6068	SpecEncapsulation : jdeSpecSelectKeyed completed OK. 
Jun  5 11:36:08.565000 - 4296/6068	No More Data found (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565001 - 4296/6068	Entering JDB_GetLastDBError (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565002 - 4296/6068	Exiting JDB_GetLastDBError with Success 
Jun  5 11:36:08.565003 - 4296/6068	IntSpecClose: Entering w/ Handle = 000000000a484ec0 
Jun  5 11:36:08.565004 - 4296/6068	Entering JDB_CloseTable (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565005 - 4296/6068	Entering JDB_CloseTable(Table = F98740) 
Jun  5 11:36:08.565006 - 4296/6068	Entering JDB_ClearSequencing (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565007 - 4296/6068	Exiting JDB_ClearSequencing with Success 
Jun  5 11:36:08.565008 - 4296/6068	Entering JDB_ClearSelection (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565009 - 4296/6068	Exiting JDB_ClearSelection with Success 
Jun  5 11:36:08.565010 - 4296/6068	Entering JDB_ClearAggregate (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565011 - 4296/6068	Exiting JDB_ClearAggregate with Success 
Jun  5 11:36:08.565012 - 4296/6068	Entering JDB_ClearGroupBy (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565013 - 4296/6068	Exiting JDB_ClearGroupBy with Success 
Jun  5 11:36:08.565014 - 4296/6068	Entering JDB_ClearColumnArithmetic (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565015 - 4296/6068	Exiting JDB_ClearColumnArithmetic with Success 
Jun  5 11:36:08.565016 - 4296/6068	Entering JDB_ClearHaving (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565017 - 4296/6068	Exiting JDB_ClearHaving with Success 
Jun  5 11:36:08.565018 - 4296/6068	Entering JDB_AssignOriginalJDETablename (hRequest 000000000916c5d0) 
Jun  5 11:36:08.565019 - 4296/6068	Exiting JDB_AssignOriginalJDETablename with Success 
Jun  5 11:36:08.565020 - 4296/6068	ODBC:S DBFreeRequest(close) req=000000000A60E120,con=00000000000E0C70 
